,US State Name,State_x,Month_x,Avg_temp,Density (Pop./ mi2),Population,sick death,all death
277,Nevada,NV,June,67.84,26.0,"2,890,845",28.13157894736842,419.10526315789474
278,New Hampshire,NH,June,54.95,148.0,"1,330,608",13.421052631578947,210.44736842105263
279,New Jersey,NJ,June,71.10000000000002,1218.0,"8,958,013",74.94736842105263,1306.7105263157896
280,New Mexico,NM,June,74.5,17.0,"2,085,109",19.36842105263158,314.07894736842104
281,New York,NY,June,68.13333333333334,420.0,"19,795,791",125.39473684210527,1775.3684210526314
282,North Carolina,NC,June,74.6,206.0,"10,042,802",111.07894736842104,1562.552631578947
283,North Dakota,ND,June,64.525,10.0,"756,927",7.921052631578947,110.73684210526315
284,Ohio,OH,June,69.325,284.0,"11,614,373",126.13157894736842,2062.0
285,Oklahoma,OK,June,77.45,57.0,"3,911,338",49.631578947368425,693.2105263157895
286,Oregon,OR,June,61.1375,41.0,"4,028,977",33.5,632.8421052631579
287,Pennsylvania,PA,June,69.6125,286.0,"12,802,503",136.8421052631579,2340.394736842105
288,Rhode Island,RI,June,68.0,1021.0,"1,056,298",12.605263157894735,176.86842105263162
289,South Carolina,SC,June,78.525,162.0,"4,896,146",53.05263157894736,841.421052631579
290,South Dakota,SD,June,66.425,11.0,"858,469",10.157894736842103,135.28947368421052
291,Tennessee,TN,June,75.43333333333334,160.0,"6,600,299",86.2105263157895,1186.6052631578948
292,Texas,TX,June,80.18571428571428,105.0,"27,469,114",225.60526315789474,3367.263157894737
293,Utah,UT,June,68.30000000000001,36.0,"2,995,919",19.263157894736842,311.84210526315786
294,Vermont,VT,June,65.8,67.0,"626,042",7.263157894736842,100.5
295,Virginia,VA,June,73.775,212.0,"8,382,993",67.73684210526315,1156.9736842105262
296,Washington,WA,June,61.4,107.0,"7,170,351",63.68421052631579,958.0263157894735
297,West Virginia,WV,June,69.42500000000001,76.0,"1,844,128",32.44736842105263,407.8684210526316
298,Wisconsin,WI,June,66.775,106.0,"5,771,337",51.157894736842096,897.0
299,Wyoming,WY,June,62.025,6.0,"586,107",6.13157894736842,86.44736842105263
300,Alabama,AL,July,81.39999999999998,95.0,"4,858,979",50.25,915.25
301,Alaska,AK,July,55.465,1.0,"738,432",3.4,77.525
302,Arizona,AZ,July,83.67999999999998,60.0,"6,828,065",47.125,959.1
303,Arkansas,AR,July,82.5,57.0,"2,978,204",37.65,559.8
304,California,CA,July,71.15,251.0,"39,144,818",328.225,4510.75
305,Colorado,CO,July,72.74,52.0,"5,456,574",31.725,623.1
306,Connecticut,CT,July,74.19999999999997,741.0,"3,590,886",35.825,526.175
307,Delaware,DE,July,76.8,485.0,"945,934",9.325,148.875
308,Florida,FL,July,82.61538461538461,378.0,"20,271,272",179.375,3454.225
309,Georgia,GA,July,81.63333333333333,177.0,"10,214,860",69.225,1390.925
310,Hawaii,HI,July,78.05,222.0,"1,431,603",18.175,196.3
311,Idaho,ID,July,73.36666666666666,20.0,"1,654,930",11.575,232.7
312,Illinois,IL,July,74.9,231.0,"12,859,995",118.825,1891.825
313,Indiana,IN,July,74.95,184.0,"6,619,680",70.4,1105.025
314,Iowa,IA,July,73.5,55.0,"3,123,899",31.95,507.475
315,Kansas,KS,July,78.72,36.0,"2,911,641",28.825,468.35
316,Kentucky,KY,July,77.07500000000002,112.0,"4,425,092",60.75,813.675
317,Louisiana,LA,July,83.05,108.0,"4,670,724",35.125,789.15
318,Maine,ME,July,67.35,43.0,"1,329,328",14.95,244.775
319,Maryland,MD,July,77.0,618.0,"6,006,401",54.9,844.775
320,Massachusetts,MA,July,71.83333333333333,871.0,"6,794,422",72.225,992.425
